3-erm,gcn,67.929 ± 7.294,54.015 ± 0.516,59.907 ± 6.479,51.310 ± 1.299,54.840 ± 4.559,55.961 ± 0.415,
2-erm,gcn,67.285 ± 6.481,53.725 ± 0.466,57.044 ± 6.635,50.243 ± 1.272,54.674 ± 2.704,53.383 ± 2.812,
1-erm,gcn,65.086 ± 7.037,53.543 ± 0.665,56.683 ± 9.072,51.050 ± 0.456,54.663 ± 3.978,54.446 ± 3.293,


1-gstopr,r=0.5,g=1.0,gcn,75.013 ± 5.617,54.401 ± 0.767,61.832 ± 9.988,49.978 ± 1.005,56.877 ± 0.300,54.376 ± 0.605,
3-gstopr,r=0.5,g=1.0,gcn,77.639 ± 5.088,54.082 ± 0.872,69.481 ± 5.431,51.938 ± 1.352,56.881 ± 0.388,56.104 ± 0.301,
2-gstopr,r=0.5,g=1.0,gcn,73.736 ± 7.249,54.351 ± 0.839,58.388 ± 7.442,50.065 ± 1.065,51.028 ± 3.338,52.848 ± 3.422,
1-gstopr,r=0.5,g=0.0,gcn,71.342 ± 7.512,53.895 ± 0.659,64.817 ± 8.950,50.175 ± 1.582,56.902 ± 0.191,54.982 ± 0.891,
2-gstopr,r=0.5,g=0.0,gcn,72.370 ± 1.445,54.353 ± 0.937,66.593 ± 2.536,50.451 ± 1.002,52.888 ± 4.991,54.769 ± 1.469,
3-gstopr,r=0.5,g=0.0,gcn,74.387 ± 2.779,54.072 ± 0.771,64.552 ± 9.098,50.938 ± 1.816,54.477 ± 5.019,56.400 ± 0.304,
